Date,Price
1/1/71,25.863
2/1/71,25.873
3/1/71,25.869
4/1/71,25.842
5/1/71,25.209
6/1/71,24.987
7/1/71,24.975
8/1/71,24.837
9/1/71,24.484
10/1/71,24.236
11/1/71,24.225
12/1/71,23.638
1/1/72,23.471
2/1/72,23.198
3/1/72,23.072
4/1/72,23.129
5/1/72,23.107
6/1/72,23.03
7/1/72,22.897
8/1/72,23.004
9/1/72,23.066
10/1/72,23.201
11/1/72,23.221
12/1/72,23.163
1/1/73,23.147
2/1/73,21.829
3/1/73,20.495
4/1/73,20.691
5/1/73,20.38
6/1/73,19.086
7/1/73,17.209
8/1/73,17.892
9/1/73,17.956
10/1/73,17.899
11/1/73,18.995
12/1/73,19.552
1/1/74,20.7
2/1/74,19.996
3/1/74,19.383
4/1/74,18.749
5/1/74,17.971
6/1/74,18.155
7/1/74,18.191
8/1/74,18.552
9/1/74,18.877
10/1/74,18.496
11/1/74,18.021
12/1/74,17.493
1/1/75,16.816
2/1/75,16.559
3/1/75,16.49
4/1/75,16.849
5/1/75,16.658
6/1/75,16.573
7/1/75,17.495
8/1/75,18.185
9/1/75,18.512
10/1/75,18.321
11/1/75,18.338
12/1/75,18.523
1/1/76,18.416
2/1/76,18.306
3/1/76,18.389
4/1/76,18.194
5/1/76,18.338
6/1/76,18.472
7/1/76,18.349
8/1/76,17.971
9/1/76,17.68
10/1/76,17.254
11/1/76,17.144
12/1/76,16.933
1/1/77,16.994
2/1/77,17.108
3/1/77,17.001
4/1/77,16.877
5/1/77,16.797
6/1/77,16.766
7/1/77,16.211
8/1/77,16.45
9/1/77,16.563
10/1/77,16.243
11/1/77,15.987
12/1/77,15.45
1/1/78,15.223
2/1/78,14.952
3/1/78,14.66
4/1/78,14.691
5/1/78,15.146
6/1/78,14.989
7/1/78,14.805
8/1/78,14.393
9/1/78,14.266
10/1/78,13.429
11/1/78,13.928
12/1/78,13.776
1/1/79,13.547
2/1/79,13.604
3/1/79,13.64
4/1/79,13.916
5/1/79,14.041
6/1/79,13.877
7/1/79,13.4
8/1/79,13.372
9/1/79,12.955
10/1/79,12.894
11/1/79,12.766
12/1/79,12.494
1/1/80,12.394
2/1/80,12.529
3/1/80,13.248
4/1/80,13.434
5/1/80,12.803
6/1/80,12.591
7/1/80,12.411
8/1/80,12.684
9/1/80,12.672
10/1/80,13.041
11/1/80,13.619
12/1/80,13.979
1/1/81,14.233
2/1/81,15.147
3/1/81,14.937
4/1/81,15.304
5/1/81,16.205
6/1/81,16.808
7/1/81,17.176
8/1/81,17.558
9/1/81,16.527
10/1/81,15.788
11/1/81,15.621
12/1/81,15.852
1/1/82,16.066
2/1/82,16.588
3/1/82,16.711
4/1/82,16.853
5/1/82,16.275
6/1/82,17.114
7/1/82,17.342
8/1/82,17.431
9/1/82,17.597
10/1/82,17.797
11/1/82,17.947
12/1/82,16.994
1/1/83,16.783
2/1/83,17.076
3/1/83,16.94
4/1/83,17.176
5/1/83,17.368
6/1/83,17.974
7/1/83,18.209
8/1/83,18.799
9/1/83,18.754
10/1/83,18.305
11/1/83,18.901
12/1/83,19.383
1/1/84,19.815
2/1/84,19.028
3/1/84,18.285
4/1/84,18.63
5/1/84,19.316
6/1/84,19.226
7/1/84,19.998
8/1/84,20.268
9/1/84,21.293
10/1/84,21.557
11/1/84,21.075
12/1/84,21.803
1/1/85,22.267
2/1/85,23.19
3/1/85,23.248
4/1/85,21.717
5/1/85,21.868
6/1/85,21.532
7/1/85,20.446
8/1/85,19.632
9/1/85,19.949
10/1/85,18.569
11/1/85,18.237
12/1/85,17.658
1/1/86,17.151
2/1/86,16.389
3/1/86,15.976
4/1/86,15.965
5/1/86,15.667
6/1/86,15.699
7/1/86,15.117
8/1/86,14.502
9/1/86,14.349
10/1/86,14.111
11/1/86,14.251
12/1/86,13.996
1/1/87,13.087
2/1/87,12.833
3/1/87,12.905
4/1/87,12.734
5/1/87,12.574
6/1/87,12.793
7/1/87,12.996
8/1/87,13.041
9/1/87,12.765
10/1/87,12.674
11/1/87,11.843
12/1/87,11.5
1/1/88,11.635
2/1/88,11.92
3/1/88,11.767
4/1/88,11.744
5/1/88,11.912
6/1/88,12.38
7/1/88,12.991
8/1/88,13.281
9/1/88,13.135
10/1/88,12.777
11/1/88,12.307
12/1/88,12.359
1/1/89,12.904
2/1/89,13.022
3/1/89,13.148
4/1/89,13.161
5/1/89,13.691
6/1/89,13.912
7/1/89,13.308
8/1/89,13.57
9/1/89,13.733
10/1/89,13.14
11/1/89,12.86
12/1/89,12.24
1/1/90,11.904
2/1/90,11.803
3/1/90,12.005
4/1/90,11.862
5/1/90,11.699
6/1/90,11.843
7/1/90,11.52
8/1/90,11.044
9/1/90,11.044
10/1/90,10.719
11/1/90,10.451
12/1/90,10.539
1/1/91,10.616
2/1/91,10.416
3/1/91,11.341
4/1/91,11.977
5/1/91,12.104
6/1/91,12.538
7/1/91,12.562
8/1/91,12.267
9/1/91,11.91
10/1/91,11.887
11/1/91,11.408
12/1/91,11.003
1/1/92,11.108
2/1/92,11.391
3/1/92,11.693
4/1/92,11.62
5/1/92,11.422
6/1/92,11.067
7/1/92,10.499
8/1/92,10.199
9/1/92,10.214
10/1/92,10.436
11/1/92,11.168
12/1/92,11.13
1/1/93,11.368
2/1/93,11.556
3/1/93,11.586
4/1/93,11.234
5/1/93,11.305
6/1/93,11.637
7/1/93,12.071
8/1/93,11.92
9/1/93,11.402
10/1/93,11.54
11/1/93,11.958
12/1/93,12.025
1/1/94,12.252
2/1/94,12.2
3/1/94,11.896
4/1/94,11.948
5/1/94,11.651
6/1/94,11.446
7/1/94,11.027
8/1/94,11.01
9/1/94,10.904
10/1/94,10.695
11/1/94,10.838
12/1/94,11.063
1/1/95,10.769
2/1/95,10.573
3/1/95,9.898
4/1/95,9.72
5/1/95,9.912
6/1/95,9.854
7/1/95,9.765
8/1/95,10.168
9/1/95,10.27
10/1/95,9.954
11/1/95,9.974
12/1/95,10.142
1/1/96,10.296
2/1/96,10.321
3/1/96,10.391
4/1/96,10.58
5/1/96,10.782
6/1/96,10.755
7/1/96,10.576
8/1/96,10.435
9/1/96,10.61
10/1/96,10.748
11/1/96,10.64
12/1/96,10.923
1/1/97,11.289
2/1/97,11.785
3/1/97,11.931
4/1/97,12.05
5/1/97,11.998
6/1/97,12.158
7/1/97,12.62
8/1/97,12.946
9/1/97,12.568
10/1/97,12.36
11/1/97,12.181
12/1/97,12.51
1/1/98,12.765
2/1/98,12.735
3/1/98,12.852
4/1/98,12.76
5/1/98,12.491
6/1/98,12.615
7/1/98,12.65
8/1/98,12.574
9/1/98,11.955
10/1/98,11.524
11/1/98,11.84
12/1/98,11.746
1/1/99,11.872
2/1/99,12.283
3/1/99,12.64
4/1/99,12.859
5/1/99,12.945
6/1/99,13.26
7/1/99,13.269
8/1/99,12.975
9/1/99,13.109
10/1/99,12.853
11/1/99,13.323
12/1/99,13.611
1/1/00,13.582
2/1/00,13.993
3/1/00,14.27
4/1/00,14.563
5/1/00,15.19
6/1/00,14.477
7/1/00,14.66
8/1/00,15.213
9/1/00,15.826
10/1/00,16.141
11/1/00,16.09
12/1/00,15.318
1/1/01,14.676
2/1/01,14.949
3/1/01,15.15
4/1/01,15.418
5/1/01,15.721
6/1/01,16.132
7/1/01,15.972
8/1/01,15.265
9/1/01,15.098
10/1/01,15.205
11/1/01,15.491
12/1/01,15.44